__offset_x;kk;objective;x;_objective;_source
1;3;510772;[1, 2, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 3, 1, 1, 3, 2, 3, 2, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3];510772.0;initial
1;3;250270;[1, 1, 1, 1, 2, 2, 2, 1, 2, 1, 1, 1, 1, 1, 3, 2, 3, 1, 3, 1, 3, 1, 3, 3, 2, 2, 3, 2, 3, 3, 2, 3, 3, 1];250270.0;gibbs
1;3;447564;[1, 1, 1, 1, 1, 2, 3, 1, 3, 1, 1, 1, 1, 1, 2, 3, 2, 1, 3, 1, 3, 1, 3, 3, 3, 3, 3, 3, 2, 3, 2, 3, 3, 3];447564.0;initial
1;3;533330;[1, 1, 1, 1, 1, 1, 2, 1, 3, 1, 1, 1, 1, 1, 3, 3, 2, 1, 2, 1, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3];533330.0;gibbs
1;3;376786;[1, 2, 2, 2, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 2, 3, 1, 1, 3, 1, 2, 1, 2, 3, 2, 2, 3, 3, 2, 3, 3, 2, 3, 3];376786.0;gibbs
1;3;329864;[1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 2, 2, 2, 2, 1, 2, 1, 3, 1, 3, 2, 2, 2, 2, 2, 3, 2, 2, 3, 3, 3];329864.0;initial
1;3;411158;[1, 1, 1, 1, 1, 2, 1, 1, 3, 3, 1, 1, 2, 1, 3, 3, 3, 1, 3, 3, 3, 1, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 3, 3];411158.0;initial
1;3;494236;[1, 1, 2, 1, 1, 1, 1, 2, 3, 1, 1, 1, 2, 2, 3, 3, 1, 1, 3, 1, 3, 1, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3];494236.0;initial
1;3;112172;[1, 2, 3, 3, 2, 2, 2, 2, 3, 3, 1, 1, 2, 2, 1, 2, 2, 1, 1, 1, 3, 2, 3, 1, 3, 3, 1, 3, 2, 1, 2, 3, 1, 1];112172.0;initial
1;3;-19998;[1, 2, 3, 2, 1, 3, 3, 1, 2, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 2, 2, 1, 2, 3, 3, 2, 2, 3, 3, 2, 3, 2, 3, 3];-19998.0;gibbs
1;3;284990;[1, 2, 3, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 2, 2, 1, 1, 3, 2, 2, 1, 2, 3, 2, 2, 3, 3, 2, 3, 2, 2, 2, 3];284990.0;initial
1;3;239610;[1, 1, 1, 1, 2, 2, 1, 1, 2, 3, 1, 1, 1, 1, 1, 2, 2, 1, 2, 1, 3, 1, 3, 2, 2, 2, 3, 1, 3, 1, 3, 3, 2, 3];239610.0;gibbs
1;3;276400;[1, 1, 1, 1, 1, 2, 1, 1, 1, 3, 1, 1, 2, 1, 2, 1, 1, 1, 2, 1, 3, 1, 3, 3, 3, 1, 3, 2, 3, 3, 2, 3, 2, 3];276400.0;gibbs
1;3;167702;[1, 1, 2, 1, 1, 1, 1, 2, 1, 2, 1, 2, 2, 1, 2, 2, 2, 1, 2, 2, 3, 2, 3, 3, 3, 1, 2, 1, 3, 3, 3, 3, 3, 3];167702.0;initial
1;3;334864;[1, 1, 2, 1, 1, 3, 2, 1, 2, 2, 1, 1, 1, 2, 3, 2, 3, 1, 2, 2, 2, 1, 2, 2, 2, 2, 3, 2, 2, 3, 1, 2, 2, 2];334864.0;gibbs
1;3;466022;[1, 1, 2, 1, 1, 1, 1, 3, 3, 2, 1, 1, 2, 1, 3, 2, 1, 1, 3, 1, 3, 1, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3];466022.0;gibbs
1;3;507698;[1, 1, 2, 1, 1, 1, 1, 1, 3, 3, 1, 1, 1, 1, 2, 3, 1, 1, 3, 1, 3, 1, 3, 3, 2, 3, 3, 3, 2, 3, 3, 3, 3, 3];507698.0;gibbs
1;3;134996;[1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 1, 2, 1, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 3];134996.0;gibbs
1;3;297556;[1, 1, 2, 1, 2, 3, 3, 1, 2, 3, 1, 1, 1, 1, 3, 3, 1, 1, 2, 1, 2, 1, 2, 3, 3, 2, 2, 3, 2, 3, 2, 2, 2, 3];297556.0;gibbs
1;3;115788;[1, 2, 2, 3, 1, 1, 3, 1, 3, 3, 1, 3, 1, 3, 3, 3, 1, 1, 3, 3, 3, 3, 3, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3];115788.0;gibbs
1;3;518460;[1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 2, 1, 1, 3, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2];518460.0;gibbs
1;3;441428;[1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 2, 2, 2, 2, 1, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 3, 2, 3, 2, 2, 2];441428.0;initial
1;3;233330;[1, 2, 2, 1, 3, 1, 1, 1, 2, 2, 1, 1, 1, 2, 2, 1, 1, 1, 3, 3, 2, 1, 2, 3, 2, 2, 1, 2, 2, 3, 2, 2, 3, 3];233330.0;gibbs
1;3;326548;[1, 2, 3, 1, 1, 1, 1, 1, 1, 2, 1, 3, 2, 2, 2, 3, 1, 1, 3, 2, 3, 2, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3];326548.0;gibbs
1;3;201530;[1, 1, 2, 3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 3, 3, 1, 3, 1, 2, 2, 2, 2, 2, 3, 2, 3, 3, 3];201530.0;initial
1;2;417956;[1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 2, 2, 1, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2];417956.0;initial
1;3;296028;[1, 2, 3, 2, 1, 1, 1, 2, 1, 2, 1, 1, 2, 2, 3, 3, 1, 1, 3, 3, 3, 2, 3, 3, 3, 1, 1, 2, 3, 2, 3, 3, 3, 3];296028.0;initial
1;3;196546;[1, 2, 1, 1, 2, 1, 1, 1, 2, 3, 1, 1, 1, 1, 3, 3, 1, 1, 3, 1, 3, 2, 3, 3, 3, 2, 3, 3, 3, 3, 1, 3, 3, 2];196546.0;gibbs
1;2;276794;[1, 1, 2, 1, 1, 2, 2, 2, 2, 2, 1, 1, 1, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2];276794.0;initial
1;3;373724;[1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 3, 3, 3, 1, 3, 1, 3, 1, 3, 2, 3, 2, 2, 3, 3, 2, 2, 3, 3, 3];373724.0;gibbs
1;3;124998;[1, 2, 3, 2, 2, 3, 2, 2, 1, 2, 1, 1, 2, 1, 3, 1, 3, 1, 1, 1, 1, 2, 1, 1, 3, 1, 1, 3, 2, 1, 3, 1, 1, 1];124998.0;initial
1;3;105648;[1, 2, 1, 2, 3, 3, 3, 2, 1, 1, 1, 1, 2, 1, 1, 1, 3, 1, 1, 2, 3, 2, 3, 3, 3, 1, 1, 1, 3, 2, 1, 3, 1, 1];105648.0;gibbs
1;3;426148;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 3, 1, 3, 1, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3];426148.0;initial
1;3;373346;[1, 1, 2, 3, 1, 1, 1, 3, 2, 3, 1, 1, 1, 1, 2, 3, 1, 1, 3, 1, 3, 1, 3, 2, 2, 2, 3, 2, 3, 2, 3, 3, 3, 3];373346.0;initial
1;3;463080;[1, 2, 3, 2, 1, 1, 1, 2, 3, 3, 1, 1, 2, 2, 3, 3, 1, 1, 1, 1, 3, 2, 3, 3, 3, 3, 1, 3, 3, 1, 3, 3, 3, 3];463080.0;initial
1;3;282556;[1, 2, 2, 2, 1, 1, 1, 2, 2, 2, 1, 1, 1, 2, 2, 1, 1, 1, 3, 1, 2, 2, 2, 3, 2, 2, 3, 3, 2, 3, 2, 2, 1, 3];282556.0;gibbs
1;3;431412;[1, 2, 2, 2, 2, 3, 1, 2, 3, 2, 1, 1, 2, 2, 3, 3, 1, 1, 3, 1, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3];431412.0;initial
1;3;305000;[1, 1, 2, 1, 1, 3, 1, 1, 2, 2, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 2, 1, 2, 3, 2, 2, 2, 2, 2, 2, 1, 2, 3, 2];305000.0;initial
1;3;468338;[1, 1, 2, 1, 3, 1, 3, 2, 2, 2, 1, 1, 1, 1, 2, 2, 3, 1, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2];468338.0;gibbs
1;3;59100;[1, 2, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 2, 1, 2, 1, 3, 2, 3, 1, 3, 2, 3, 1, 3, 3, 3, 3, 3, 2];59100.0;gibbs
1;3;304238;[1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 1, 2, 2, 2, 2, 1, 2, 3, 2, 2, 2, 2, 1];304238.0;gibbs
1;3;445000;[1, 1, 2, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 1, 2, 3, 2, 3, 3, 2, 2, 3, 3, 2, 3, 2];445000.0;initial
1;3;324998;[1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 3, 1, 2, 1, 3, 1, 3, 2, 3, 3, 3, 2, 3, 2, 3, 3, 2, 3, 3, 2];324998.0;gibbs
1;3;512190;[1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 1, 3, 1, 2, 3, 3, 1, 1, 3, 1, 3, 1, 3, 3, 2, 2, 3, 2, 2, 3, 3, 3, 3, 3];512190.0;gibbs
1;3;236414;[1, 1, 2, 1, 1, 1, 2, 1, 2, 2, 1, 1, 1, 1, 2, 2, 2, 1, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 1, 2];236414.0;gibbs
1;3;534488;[1, 1, 1, 1, 2, 1, 2, 1, 3, 3, 1, 1, 1, 1, 3, 3, 2, 1, 2, 1, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3];534488.0;initial
1;3;507184;[1, 1, 2, 2, 1, 1, 1, 2, 3, 2, 1, 1, 1, 2, 3, 3, 1, 1, 3, 2, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3];507184.0;gibbs
