__offset_assign;assign;objective;_objective;_source
1;[0, 4, 22, 0, 0, 23, 6, 30, 5, 9, 7, 0, 0, 0, 0, 45, 40, 1, 11, 13, 20, 43, 0, 21, 3, 0, 39, 0, 0, 45, 6, 0, 0, 0, 37, 8, 10, 0, 24, 24, 27, 0, 12, 5, 47, 36, 2, 17, 0, 0, 42, 0, 29, 25, 33, 16, 0, 28, 34, 50];2844214;2844214.0;gibbs
1;[0, 9, 13, 0, 0, 0, 14, 5, 11, 6, 7, 0, 40, 0, 42, 26, 8, 1, 4, 10, 20, 31, 0, 21, 4, 36, 23, 10, 0, 26, 14, 18, 0, 15, 38, 43, 2, 0, 24, 36, 3, 35, 30, 11, 47, 0, 39, 28, 25, 12, 50, 37, 29, 17, 16, 34, 33, 44, 19, 21];3330851;3330851.0;gibbs
1;[0, 3, 15, 0, 0, 23, 6, 5, 7, 34, 21, 0, 40, 0, 0, 18, 0, 11, 9, 9, 20, 31, 0, 7, 0, 24, 39, 0, 0, 49, 33, 37, 0, 0, 0, 43, 10, 0, 0, 24, 4, 0, 30, 28, 47, 46, 36, 25, 42, 12, 50, 44, 0, 17, 1, 8, 2, 16, 13, 28];3077042;3077042.0;gibbs
1;[0, 4, 40, 0, 0, 1, 6, 0, 42, 8, 7, 0, 43, 0, 50, 29, 31, 2, 26, 9, 12, 18, 0, 42, 26, 36, 24, 0, 0, 38, 6, 29, 0, 13, 45, 32, 10, 5, 23, 23, 14, 16, 11, 20, 47, 39, 46, 17, 25, 28, 21, 37, 0, 30, 34, 3, 33, 19, 44, 20];3330336;3330336.0;gibbs
1;[0, 4, 22, 0, 0, 23, 6, 30, 5, 9, 7, 0, 0, 0, 11, 37, 40, 1, 37, 13, 0, 43, 0, 21, 3, 0, 39, 0, 0, 45, 6, 0, 0, 0, 18, 0, 10, 0, 24, 9, 27, 0, 12, 5, 47, 36, 2, 17, 0, 0, 42, 0, 8, 25, 33, 0, 0, 20, 34, 50];2732709;2732709.0;gibbs
1;[0, 4, 40, 0, 0, 1, 6, 12, 42, 8, 7, 0, 43, 17, 5, 29, 31, 2, 26, 9, 11, 18, 0, 20, 28, 36, 24, 42, 0, 38, 6, 29, 0, 13, 45, 32, 10, 0, 23, 23, 14, 16, 0, 28, 47, 39, 46, 25, 21, 0, 50, 37, 9, 30, 34, 3, 33, 19, 44, 20];3296124;3296124.0;initial
1;[0, 0, 26, 0, 0, 23, 9, 30, 7, 13, 21, 0, 0, 0, 0, 45, 0, 1, 0, 14, 12, 37, 0, 7, 3, 36, 39, 0, 0, 45, 9, 0, 0, 40, 43, 34, 2, 0, 24, 24, 4, 8, 5, 11, 47, 10, 46, 25, 0, 0, 42, 50, 14, 17, 33, 22, 19, 6, 0, 11];2957966;2957966.0;gibbs
1;[0, 4, 8, 0, 0, 23, 6, 5, 30, 34, 7, 0, 40, 0, 11, 15, 26, 1, 3, 9, 12, 43, 0, 21, 20, 39, 2, 30, 0, 15, 6, 13, 0, 35, 45, 29, 10, 0, 24, 24, 31, 14, 28, 20, 47, 46, 36, 25, 42, 0, 50, 37, 9, 17, 16, 22, 33, 44, 19, 21];3372496;3372496.0;initial
1;[0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 26, 0, 0, 5, 0, 1, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 23, 30, 5, 47, 0, 0, 0, 0, 11, 0, 0, 7, 21, 0, 0, 0, 0, 0, 7];1145279;1145279.0;gibbs
1;[0, 0, 26, 0, 0, 23, 0, 30, 0, 0, 7, 0, 0, 0, 21, 8, 0, 1, 0, 0, 12, 0, 0, 0, 0, 36, 39, 0, 0, 45, 0, 8, 0, 40, 43, 0, 0, 0, 24, 36, 4, 0, 5, 11, 47, 10, 0, 25, 0, 0, 42, 0, 0, 17, 33, 22, 34, 6, 20, 11];2488775;2488775.0;gibbs
