__offset_hoist;__offset_r;hoist;objective;r;_objective;_source
0;0;[1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2];785;[0, 181, 293, 435, 547, 602, 736, 43, 138, 328, 514, 639, 691, 89, 201, 343, 455, 510, 593, 707, 774, 637, 119, 236, 297];785.0;gibbs
0;0;[1, 1, 1, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2];979;[0, 181, 293, 435, 547, 602, 716, 798, 886, 908, 645, 762, 836, 37, 149, 350, 496, 561, 704, 803, 870, 637, 75, 193, 269];979.0;gibbs
0;0;[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2];628;[0, 221, 363, 548, 33, 88, 171, 253, 326, 47, 403, 520, 573, 129, 252, 454, 575, 12, 155, 282, 349, 516, 102, 227, 293];628.0;gibbs
0;0;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2];573;[0, 209, 325, 474, 35, 90, 173, 290, 370, 392, 329, 446, 514, 131, 243, 413, 546, 35, 118, 208, 275, 466, 513, 85, 154];573.0;gibbs
0;0;[1, 1, 1, 1, 1, 2, 1, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2];1209;[0, 181, 293, 435, 547, 602, 685, 767, 834, 1143, 883, 1000, 1052, 36, 148, 290, 402, 457, 550, 642, 709, 1026, 6, 123, 205];1209.0;gibbs
0;0;[1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1];980;[0, 181, 293, 435, 547, 602, 716, 798, 886, 908, 645, 762, 836, 37, 149, 291, 403, 458, 551, 693, 790, 344, 75, 192, 244];980.0;gibbs
0;0;[1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2];1068;[0, 181, 293, 435, 547, 602, 685, 806, 885, 907, 730, 847, 899, 37, 149, 335, 448, 503, 586, 668, 765, 74, 121, 238, 290];1068.0;gibbs
0;0;[1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 2, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2];874;[0, 188, 301, 443, 555, 610, 693, 777, 0, 801, 514, 661, 729, 44, 156, 298, 410, 465, 600, 742, 832, 126, 78, 195, 247];874.0;gibbs
0;0;[1, 1, 1, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 1, 2, 2, 2, 2, 1, 2, 2];1200;[0, 181, 293, 435, 547, 602, 685, 767, 834, 1143, 883, 1000, 1052, 36, 148, 290, 402, 467, 570, 653, 735, 1053, 75, 192, 244];1200.0;gibbs
0;0;[1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2];980;[0, 181, 293, 435, 547, 602, 716, 798, 886, 908, 645, 762, 836, 36, 148, 290, 402, 457, 550, 642, 709, 913, 6, 123, 205];980.0;gibbs
0;0;[1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2];631;[0, 195, 317, 459, 606, 39, 126, 268, 365, 397, 32, 168, 220, 415, 527, 72, 184, 239, 380, 462, 529, 104, 151, 276, 328];631.0;gibbs
0;0;[1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2];1096;[0, 181, 293, 435, 547, 602, 689, 771, 864, 1043, 818, 935, 987, 71, 183, 325, 437, 492, 575, 657, 735, 996, 105, 222, 274];1096.0;gibbs
0;0;[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2];627;[0, 224, 366, 551, 36, 91, 174, 256, 323, 47, 406, 523, 576, 132, 244, 446, 578, 9, 143, 285, 352, 464, 102, 219, 296];627.0;gibbs
0;0;[1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2];735;[0, 181, 293, 435, 547, 602, 685, 32, 103, 328, 469, 586, 640, 102, 232, 374, 486, 541, 624, 721, 63, 651, 159, 276, 328];735.0;gibbs
0;0;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2];571;[0, 208, 320, 474, 35, 90, 173, 281, 352, 377, 329, 446, 514, 131, 243, 413, 546, 35, 118, 208, 275, 466, 513, 85, 154];571.0;gibbs
0;0;[1, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2];758;[0, 181, 293, 435, 547, 602, 685, 15, 82, 234, 469, 586, 640, 96, 208, 374, 486, 541, 624, 721, 51, 651, 130, 247, 299];758.0;gibbs
0;0;[1, 1, 1, 1, 1, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2];985;[0, 181, 293, 435, 547, 602, 685, 818, 897, 919, 730, 859, 938, 133, 245, 387, 499, 554, 637, 719, 786, 985, 167, 284, 336];985.0;gibbs
0;0;[1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 2, 2, 2, 2];901;[0, 219, 361, 563, 705, 760, 0, 82, 149, 646, 45, 192, 244, 424, 536, 678, 796, 851, 91, 192, 289, 238, 631, 748, 830];901.0;gibbs
